,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
209,8 Hamilton Cir,Philadelphia,PA,19130,441500,1686,[],2,1,2,[],[],[],[],[],[],[],[],[],Multi family,1970,05/15/2020,['Center City'],[],
210,240 W Penn St,Philadelphia,PA,19144,262050,2000,[],1,1,3,[],[],[],[],[],[],[],[],[],Single family,1900,05/15/2020,['Upper Northwest'],[],
211,1309 McKean St,Philadelphia,PA,19148,400000,1216,816,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5722,Multi family,1925,05/17/2020,['South Philadelphia'],['0'],53.0
212,1421 W Shunk St,Philadelphia,PA,19145,375000,1508,1008,1,1,3,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3031,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
213,2826 Snyder Ave,Philadelphia,PA,19145,280000,1900,1108,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,857,Multi family,1920,05/15/2020,['Grays Ferry'],['0'],53.0
214,2254 N Hancock St,Philadelphia,PA,19133,410000,2500,839,3,1,4,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,148,Land,2020,05/15/2020,['Lower North'],['0'],53.0
215,250810 Grays Ferry Ave Unit 1,Philadelphia,PA,19146,552000,1450,[],3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],[],2020,[],[],['100'],53.0
216,2248 Carpenter St,Philadelphia,PA,19146,760000,3000,930,3,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2153,Multi family,2013,05/16/2020,['Center City'],['0'],53.0
217,122 Dudley St,Philadelphia,PA,19148,310000,1032,700,1,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2709,Multi family,1905,05/17/2020,['South Philadelphia'],['0'],53.0
218,62123 N 2nd St Unit 2R,Philadelphia,PA,19123,375000,1500,[],2,[''],2,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4386,[],1900,[],[],['282'],53.0
219,1122 Cantrell St,Philadelphia,PA,19148,220000,830,647,2,[''],2,[],[],['Ceiling Fan(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2492,Multi family,1940,05/17/2020,['South Philadelphia'],['0'],53.0
220,3043 W Harper St,Philadelphia,PA,19130,329000,1448,[],1,1,2,[],[],[],[],[],[],[],[],[],Multi family,1925,05/16/2020,['Center City'],[],
221,7132 Hegerman St,Philadelphia,PA,19135,161900,1350,1650,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1657,Single family,1955,05/16/2020,['North Delaware'],['0'],53.0
222,3539 Rhawn St,Philadelphia,PA,19136,110000,928,1518,1,[''],2,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1851,Multi family,1961,05/16/2020,['North Delaware'],['0'],53.0
223,528 S 5th St Unit 3R,Philadelphia,PA,19147,450000,1033,[],2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1500,[],2019,[],['Center City'],['200'],53.0
224,12564 Biscayne Dr,Philadelphia,PA,19154,200000,1224,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1960,05/16/2020,['Far Northeast Philadelphia'],[],
225,2201 Cherry St Apt 804,Philadelphia,PA,19103,350000,1055,[],2,[''],2,[],11,['Wall Unit Cooling'],['Heat Pump(s)'],"['Elementary School: ALBERT M', 'Elementary School: ALBERT M']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3694,Condo,1986,05/17/2020,[],['452'],53.0
226,4726 Marple St,Philadelphia,PA,19136,95000,1240,988,1,[''],3,[],[],[],['Radiant'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1439,Multi family,1953,05/16/2020,['North Delaware'],['0'],53.0
227,172327 N Howard St Unit 4,Philadelphia,PA,19122,696500,3000,5872,2,1,3,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2769,[],2019,[],[],['150'],53.0
228,1147 S Mole St,Philadelphia,PA,19146,220000,784,517,1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3372,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
229,4934 Castor Ave,Philadelphia,PA,19124,265000,2276,5251,4,1,5,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2959,Single family,1925,05/16/2020,['Kensington'],['0'],53.0
230,622 E Johnson St,Philadelphia,PA,19138,129900,1260,1120,1,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1933,Multi family,1925,05/16/2020,['Upper Northwest'],['0'],53.0
231,31 N Ithan St,Philadelphia,PA,19139,135000,1152,960,2,[''],3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,885,Multi family,1925,05/15/2020,['Haddington'],['0'],53.0
232,1334 N 29th St,Philadelphia,PA,19121,173000,1216,[],2,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1920,05/16/2020,['Lower North'],[],
233,22430 W Rittenhouse Sq Unit 2714,Philadelphia,PA,19103,341250,740,[],1,[''],1,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4838,[],1970,[],[],['654'],53.0
234,1029 Reed St,Philadelphia,PA,19147,220000,675,1106,[''],1,0,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1172,Commercial,1933,05/15/2020,['South Philadelphia'],['0'],53.0
235,1517 Green St Unit 4,Philadelphia,PA,19130,400000,[],[],1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1814,[],[],[],['Center City'],['200'],53.0
236,1757 Georges Ln,Philadelphia,PA,19131,13300,[],1199,[],[],[],[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,168,Land,[],05/15/2020,['West Philadelphia'],['0'],53.0
237,2222 E Albert St,Philadelphia,PA,19125,75000,[],[],[],[],[],[],[],[],[],[],[],[],[],[],Land,[],05/16/2020,['River Wards'],[],
238,2037 Gerritt St,Philadelphia,PA,19146,400000,1800,[],3,[''],4,[],[],[],[],[],[],[],[],[],Single family,2020,05/16/2020,['South Philadelphia'],[],
239,6127 Cottage St,Philadelphia,PA,19135,214900,1350,[],1,1,3,[],[],[],[],[],[],[],[],[],Single family,1945,05/15/2020,['North Delaware'],[],
240,1544 W York St,Philadelphia,PA,19132,47000,1590,1064,1,[''],3,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,435,Multi family,1915,05/15/2020,['Lower North'],['0'],53.0
241,3005 S 74th St,Philadelphia,PA,19153,245000,1400,[],2,1,3,[],[],[],[],[],[],[],[],[],Multi family,1965,05/15/2020,['Southwest Philadelphia'],[],
242,1017 Surrey Rd,Philadelphia,PA,19115,287500,1872,3812,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: ANNE FRANK ', 'Elementary School: ANNE FRANK']","['Middle School: BALDI ', 'Middle School: BALDI']","['High School: GEORGE WASHINGTON ', 'High School: GEORGE WASHINGTON']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2851,Single family,1959,05/16/2020,['Bustleton'],['0'],53.0
243,2227 Tulip St,Philadelphia,PA,19125,347000,1588,624,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: HACKETT SCHOOL ', 'Elementary School: HACKETT SCHOOL']","['Middle School: PENN TREATY ', 'Middle School: PENN TREATY']","['High School: KENSINGTON CREATIVE AND PERFORMING ARTS ', 'High School: KENSINGTON CREATIVE AND PERFORMING ARTS']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4177,Multi family,1875,05/16/2020,['River Wards'],['0'],53.0
244,2415 Pine St,Philadelphia,PA,19103,1432000,2100,1595,3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,14541,Multi family,1850,05/15/2020,['Center City'],['0'],53.0
245,2520 Coral St,Philadelphia,PA,19125,373000,1296,839,2,1,3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4924,Multi family,1875,05/16/2020,['River Wards'],['0'],53.0
246,9401 Meadowbrook Ave,Philadelphia,PA,19118,2295000,4500,43609,4,2,4,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,9716,[],1933,[],['Chestnut Hill'],['0'],53.0
247,6914 Large St,Philadelphia,PA,19149,189900,1482,2355,2,[''],3,[],[],['Window Unit(s)'],['Hot Water'],"['Elementary School: SOLOMON SOLIS', 'Elementary School: SOLOMON SOLIS']","['Middle School: SOLOMON SOLIS', 'Middle School: SOLOMON SOLIS']","['High School: NORTHEAST ', 'High School: NORTHEAST']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2116,Multi family,1950,05/15/2020,['Oxford Circle'],['0'],53.0
248,235 Pensdale St,Philadelphia,PA,19128,214900,1210,[],1,[''],2,[],[],[],[],[],[],[],[],[],Multi family,1940,05/15/2020,['Lower Northwest'],[],
249,1414 S Penn Sq Unit 40G,Philadelphia,PA,19102,1575000,2356,[],3,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,24496,Condo,2009,05/17/2020,['Center City'],['2718'],53.0
250,5361 Eadom St,Philadelphia,PA,19137,152000,990,969,1,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1055,Multi family,1900,05/15/2020,['North Delaware'],['0'],53.0
251,3156 Derry Rd,Philadelphia,PA,19154,270000,1470,2000,2,1,4,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2914,Multi family,1983,05/16/2020,['Far Northeast Philadelphia'],['0'],53.0
252,191016 E Hagert St Unit 9,Philadelphia,PA,19125,317500,1202,[],2,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,507,[],2018,[],[],['145'],53.0
253,2016 E Cumberland St,Philadelphia,PA,19125,450000,2000,1226,2,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2510,Multi family,1875,05/16/2020,['River Wards'],['0'],53.0
254,1626 S Etting St,Philadelphia,PA,19145,225000,1792,765,2,[''],2,[],11,['Central A/C'],['Heat Pump(s)'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1165,Multi family,1925,05/16/2020,['Grays Ferry'],['0'],53.0
255,329 S Camac St,Philadelphia,PA,19107,600000,1200,[],1,[''],2,[],[],[],[],[],[],[],[],[],Multi family,1800,05/15/2020,['Center City'],[],
256,626 Carpenter St,Philadelphia,PA,19147,600000,[],1178,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,9905,[],1915,[],['Center City'],[],53.0
257,2829 Shipley Rd,Philadelphia,PA,19152,215000,1664,2994,1,[''],3,[],[],['Dehumidifier'],['Forced Air Heating'],"['Elementary School: ROBERT B', 'Elementary School: ROBERT B']","['Middle School: AUSTIN MEEHAN ', 'Middle School: AUSTIN MEEHAN']","['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2678,Single family,1956,05/15/2020,['Far Northeast Philadelphia'],['0'],53.0
258,1157 E Passyunk Ave,Philadelphia,PA,19147,355000,1632,992,2,1,3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5675,[],1925,[],['South Philadelphia'],['0'],53.0
259,565 N 20th St,Philadelphia,PA,19130,774500,2764,1271,[],[],0,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7244,Commercial,1920,05/16/2020,[],[],53.0
260,7010 Montague St,Philadelphia,PA,19135,179900,1376,2426,1,[''],3,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2188,Single family,1940,05/15/2020,['North Delaware'],['0'],53.0
261,20159 N 8th St Unit 513,Philadelphia,PA,19106,310000,922,[],1,[''],1,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3374,[],1970,[],[],['501'],53.0
262,4017 Shelmire Ave,Philadelphia,PA,19136,175000,1424,1351,1,[''],3,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1898,Multi family,1950,05/16/2020,['North Delaware'],['0'],53.0
263,1808 N 18th St,Philadelphia,PA,19121,250000,3003,1676,[],[],0,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1795,Multi family,1915,05/16/2020,['Lower North'],[],53.0
264,7009 Cedar Park Ave,Philadelphia,PA,19138,159900,1208,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1925,05/15/2020,['West Oak Lane'],[],
265,517 Alcott St,Philadelphia,PA,19120,125000,1184,1104,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1261,Multi family,1925,05/16/2020,['Lawndale'],['0'],53.0
266,2639 Wilder St,Philadelphia,PA,19146,247000,1100,672,1,1,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,873,Multi family,1925,05/16/2020,['Grays Ferry'],['0'],53.0
267,920 N Orianna St,Philadelphia,PA,19123,583000,2404,1382,2,[''],4,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7973,Multi family,1920,05/15/2020,['Center City'],['0'],53.0
268,1404 S 2nd St,Philadelphia,PA,19147,325000,2240,985,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4664,Multi family,1915,05/15/2020,['South Philadelphia'],[],53.0
269,520 Mifflin St,Philadelphia,PA,19148,500000,2400,1055,2,1,4,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2910,Multi family,1915,05/17/2020,['South Philadelphia'],['0'],53.0
270,4833 Morris St,Philadelphia,PA,19144,137000,2520,[],3,[''],5,[],[],[],[],[],[],[],[],[],Single family,1930,05/15/2020,['Upper Northwest'],[],
271,4723 Smick St,Philadelphia,PA,19127,227000,1656,1625,2,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3113,Multi family,1900,05/15/2020,['Lower Northwest'],['0'],53.0
272,755 S 3rd St Unit D,Philadelphia,PA,19147,445000,1182,[],2,[''],2,[],[],[],[],[],[],[],[],[],Condo,1900,05/16/2020,['Queen Village'],[],
273,365 Dawson St,Philadelphia,PA,19128,260000,1280,[],1,1,3,[],[],[],[],[],[],[],[],[],Single family,1920,05/15/2020,['Wissahickon'],[],
274,336 S 21st St,Philadelphia,PA,19103,2100000,4200,[],3,1,5,[],[],[],[],[],[],[],[],[],Multi family,1800,05/15/2020,['Center City'],[],
275,401 Wellesley Rd,Philadelphia,PA,19119,325000,1158,1690,1,[''],3,[],[],['Central A/C'],['Radiant'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3802,Single family,1925,05/15/2020,['Upper Northwest'],['0'],53.0
276,419 Princeton Ave,Philadelphia,PA,19111,225000,1350,2631,1,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2240,Single family,1950,05/16/2020,['Burholme'],['0'],53.0
277,841 N Newkirk St,Philadelphia,PA,19130,370000,756,643,1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: ROBERT MORRIS ', 'Elementary School: ROBERT MORRIS']","['Middle School: VAUX ', 'Middle School: VAUX']","['High School: FRANKLIN BENJAMIN ', 'High School: FRANKLIN BENJAMIN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4078,Multi family,1920,05/15/2020,['Center City'],['0'],53.0
278,3815 Red Lion Rd,Philadelphia,PA,19114,230000,1570,3849,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3397,Single family,1973,05/16/2020,['Far Northeast Philadelphia'],['0'],53.0
279,801 S 18th St,Philadelphia,PA,19146,1150000,2750,832,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7030,Multi family,1915,05/16/2020,['Center City'],['0'],53.0
280,4510 Strahle St,Philadelphia,PA,19136,185000,1152,1611,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2026,Multi family,1965,05/16/2020,['North Delaware'],['0'],53.0
281,6753 Linmore Ave,Philadelphia,PA,19142,58000,1216,800,1,[''],3,[],[],['Central A/C'],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,920,Multi family,1965,05/15/2020,['Paschall'],['0'],53.0
282,4504 Loring St,Philadelphia,PA,19136,133500,1078,1085,1,[''],3,[],[],['Window Unit(s)'],['Forced Air Heating'],"['Elementary School: EDWIN FORREST SCHOOL ', 'Elementary School: EDWIN FORREST SCHOOL']","['Middle School: AUSTIN MEEHAN ', 'Middle School: AUSTIN MEEHAN']","['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1498,Multi family,1950,05/15/2020,['North Delaware'],['0'],53.0
283,1811 Webster St,Philadelphia,PA,19146,341000,1000,585,1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3012,Multi family,1920,05/16/2020,['Center City'],['0'],53.0
284,7621 Algon Ave,Philadelphia,PA,19111,245000,2310,3490,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3063,Multi family,1960,05/15/2020,['Rhawnhurst'],[],53.0
285,8828 Brocklehurst St,Philadelphia,PA,19152,190000,1107,[],1,1,3,[],[],[],[],[],[],[],[],[],Single family,1959,05/15/2020,['Far Northeast Philadelphia'],[],
286,4606 Eden St,Philadelphia,PA,19114,315000,1820,[],1,1,3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4583,Single family,1950,05/16/2020,['Torresdale'],['0'],53.0
287,2627 W Sterner St,Philadelphia,PA,19132,28500,840,629,1,[''],2,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,298,Multi family,1915,05/16/2020,['Upper North Philadelphia'],['0'],53.0
288,2629 W Sterner St,Philadelphia,PA,19132,9000,[],629,[],[],[],[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,41,Land,[],05/16/2020,['Upper North Philadelphia'],['0'],53.0
289,204 Admirals Way,Philadelphia,PA,19146,810000,2200,[],3,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,9547,[],2006,[],['Center City'],['609'],53.0
290,553 Fairway Ter,Philadelphia,PA,19128,257500,1216,2879,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3185,Single family,1950,05/15/2020,['Lower Northwest'],['0'],53.0
291,2146 Catharine St,Philadelphia,PA,19146,1450000,3264,1206,4,[''],4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4689,Multi family,1925,05/16/2020,['Center City'],['0'],53.0
292,2231 S Rosewood St,Philadelphia,PA,19145,270000,1050,689,1,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4204,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
293,1752 N Howard St,Philadelphia,PA,19122,620850,[],[],2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1240,[],2019,05/16/2020,['Lower North'],['90'],53.0
294,1939 Gerritt St,Philadelphia,PA,19146,451500,1952,599,3,[''],3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,553,Land,2020,05/16/2020,['South Philadelphia'],['0'],53.0
295,1707 Panama St,Philadelphia,PA,19103,525000,850,543,1,1,2,[],[],['Central A/C'],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6472,Multi family,1800,05/15/2020,['Center City'],['0'],53.0
296,2838 Agate St,Philadelphia,PA,19134,365000,2240,700,3,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1239,Multi family,1920,05/16/2020,['Richmond'],['0'],53.0
297,2213 Berwyn Pl,Philadelphia,PA,19115,294900,1755,5397,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: ANNE FRANK ', 'Elementary School: ANNE FRANK']","['Middle School: BALDI ', 'Middle School: BALDI']",[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3047,Single family,1959,05/16/2020,['Bustleton'],['0'],53.0
298,3312 Lansing St,Philadelphia,PA,19136,200000,1088,1284,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2249,Multi family,1950,05/16/2020,['North Delaware'],['0'],53.0
299,409 Hoffman St,Philadelphia,PA,19148,268750,1260,700,1,[''],2,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1566,Multi family,1920,05/17/2020,['South Philadelphia'],['0'],53.0
300,20010 Lombard St Unit 638,Philadelphia,PA,19147,270000,824,[],1,1,1,[],11,['Central A/C'],['Heat Pump(s)'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3182,[],1985,[],[],['490'],53.0
301,112 N 2nd St Unit 5H1,Philadelphia,PA,19106,490000,1460,1460,2,[''],2,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6607,Condo,2006,05/17/2020,['Center City'],['579'],53.0
302,831 Jackson St,Philadelphia,PA,19148,265000,1070,[],2,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1925,05/17/2020,['South Philadelphia'],[],
303,249 W Spencer St,Philadelphia,PA,19120,93500,1140,1050,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1401,Multi family,1935,05/16/2020,['Olney'],['0'],53.0
304,2028 N Orianna St,Philadelphia,PA,19122,50000,[],552,[],[],[],[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,178,Land,[],05/15/2020,['Lower North'],['0'],53.0
305,2053 E Dauphin St,Philadelphia,PA,19125,425000,1930,1523,1,1,4,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4547,Multi family,1875,05/16/2020,['River Wards'],['0'],53.0
306,1825 S Mole St,Philadelphia,PA,19145,152500,848,686,1,[''],2,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1733,Multi family,1920,05/15/2020,['South Philadelphia'],['0'],53.0
307,27 W Phil Ellena St,Philadelphia,PA,19119,365000,3466,4500,2,1,6,[],[],['Wall Unit Cooling'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4222,Single family,1925,05/16/2020,['Upper Northwest'],['0'],53.0
308,2450 N 56th St,Philadelphia,PA,19131,322518,3374,6838,3,1,4,[],[],['Central A/C'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4127,Single family,1925,05/15/2020,['West Philadelphia'],['0'],53.0
309,804 Montrose St,Philadelphia,PA,19147,617500,2100,863,3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2398,[],2015,[],['Center City'],['203'],53.0
310,7216 N 20th St,Philadelphia,PA,19138,154800,1312,[],2,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1925,05/15/2020,['West Oak Lane'],[],
311,1830 Rittenhouse Sq Apt 9A,Philadelphia,PA,19103,1500000,1781,[],2,[''],2,[],[],[],[],[],[],[],[],[],Condo,1900,05/17/2020,['Center City'],[],
312,6230 Belfield Ave,Philadelphia,PA,19144,253000,2235,1328,2,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1750,Multi family,1925,05/16/2020,['Upper Northwest'],['0'],53.0
313,1126 Napier St,Philadelphia,PA,19116,310000,1709,4577,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4349,Single family,1980,05/16/2020,['Somerton'],['0'],53.0
314,4337 N Franklin St,Philadelphia,PA,19140,67000,1128,900,1,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,676,Multi family,1925,05/15/2020,['Upper North Philadelphia'],['0'],53.0
315,1534 N Hollywood St,Philadelphia,PA,19121,265000,1110,770,2,[''],2,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,806,Multi family,1925,05/16/2020,['Lower North'],['0'],53.0
316,820 S Vogdes St,Philadelphia,PA,19143,170000,1710,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1925,05/15/2020,['Cobbs Creek'],[],
317,1524 S 20th St,Philadelphia,PA,19146,190000,1532,1023,1,1,3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,470,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
